 Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Adam Vinatieri,IND,  vs.  JAC,1,18,1.808988764,2.076494477
2,Stephen Gostkowski,NE,  vs.  DET,1,12,2.415730337,1.778833027
3,Dan Bailey,DAL,  at  NYG,1,28,4.24137931,3.390200609
4,Cody Parkey,PHI,  vs.  TEN,1,18,4.606741573,2.433926765
5,Mason Crosby,GB,  at  MIN,1,19,6.404494382,2.83128232
6,Phil Dawson,SF,  vs.  WAS,2,22,6.471910112,3.250202717
7,Justin Tucker,BAL,  at  NO,1,27,6.858823529,3.610940699
8,Steven Hauschka,SEA,  vs.  ARI,1,19,8.876404494,3.18994285
9,Nick Novak,SD,  vs.  STL,3,19,9.356321839,2.967165184
10,Matt Bryant,ATL,  vs.  CLE,2,21,10.15730337,3.39827741
11,Dan Carpenter,BUF,  vs.  NYJ,4,25,12.23529412,3.530195991
12,Cairo Santos,KC,  at  OAK,5,21,12.6091954,3.022354726
13,Shayne Graham,NO,  vs.  BAL,6,22,13.64772727,3.424642558
14,Robbie Gould,CHI,  vs.  TB,3,28,13.76829268,3.575999879
15,Brandon McManus,DEN,  vs.  MIA,4,27,14.09302326,3.594659821
16,Caleb Sturgis,MIA,  at  DEN,5,28,16.16853933,4.62342826
17,Chandler Catanzaro,ARI,  at  SEA,2,28,16.82352941,3.555199905
18,Randy Bullock,HOU,  vs.  CIN,5,26,17.4556962,3.774657226
19,Mike Nugent,CIN,  at  HOU,9,29,17.84745763,4.394964605
20,Matt Prater,DET,  at  NE,8,26,17.87654321,3.44760685
21,Blair Walsh,MIN,  vs.  GB,11,27,19.30508475,3.627831389
22,Billy Cundiff,CLE,  at  ATL,6,30,18.98113208,4.293437581
23,Greg Zuerlein,STL,  at  SD,10,30,21.93023256,4.838774344
24,Patrick Murray,TB,  at  CHI,8,30,21.83333333,5.002777007
25,Kai Forbath,WAS,  at  SF,7,30,23.69444444,4.563255687
26,Nick Folk,NYJ,  at  BUF,12,30,22.20588235,4.323529412
27,Josh Brown,NYG,  vs.  DAL,14,30,22.07894737,3.875575196
28,Ryan Succop,TEN,  at  PHI,15,30,26.38709677,3.507387773
29,Sebastian Janikowski,OAK,  vs.  KC,15,30,26.48275862,3.682396986
30,Josh Scobee,JAC,  at  IND,23,30,28.35714286,1.931215119
