Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev
1,Aaron Rodgers,GB,  at  MIN,1,3,1.5,0.659685672
2,Andrew Luck,IND,  vs.  JAC,1,3,1.712962963,0.60935494
3,Peyton Manning,DEN,  vs.  MIA,1,7,3.074074074,0.790027
4,Drew Brees,NO,  vs.  BAL,2,11,4.583333333,1.299038106
5,Tom Brady,NE,  vs.  DET,2,16,5.240740741,1.586227591
6,Jay Cutler,CHI,  vs.  TB,3,11,6.055555556,1.464602925
7,Tony Romo,DAL,  at  NYG,1,16,8.046296296,2.318940767
8,Colin Kaepernick,SF,  vs.  WAS,4,19,8.990740741,2.716531593
9,Mark Sanchez,PHI,  vs.  TEN,4,21,10.21296296,3.088362043
10,Russell Wilson,SEA,  vs.  ARI,5,21,10.96296296,2.683716073
11,Matt Ryan,ATL,  vs.  CLE,6,19,11.59259259,2.621269967
12,Matthew Stafford,DET,  at  NE,6,19,11.99074074,2.62993934
13,Josh McCown,TB,  at  CHI,5,28,12.66666667,3.150543751
14,Ryan Tannehill,MIA,  at  DEN,5,22,13.12962963,3.000285766
15,Philip Rivers,SD,  vs.  STL,6,22,14.06481481,3.01929949
16,Joe Flacco,BAL,  at  NO,7,22,15.88679245,2.404087536
17,Andy Dalton,CIN,  at  HOU,6,27,17.67592593,3.170549385
18,Eli Manning,NYG,  vs.  DAL,10,24,18.48148148,2.351049732
19,Kyle Orton,BUF,  vs.  NYJ,11,29,18.99056604,3.306640783
20,Brian Hoyer,CLE,  at  ATL,8,29,19.84761905,3.268262834
21,Alex Smith,KC,  at  OAK,15,28,22.54368932,2.915564856
22,Zach Mettenberger,TEN,  at  PHI,11,30,22.70526316,3.547790073
23,Blake Bortles,JAC,  at  IND,10,30,22.96,3.475399258
24,Michael Vick,NYJ,  at  BUF,13,32,22.76344086,3.358180029
25,Robert Griffin III,WAS,  at  SF,13,28,22.3,2.507987241
26,Ryan Mallett,HOU,  vs.  CIN,16,30,25.47368421,2.678735386
27,Shaun Hill,STL,  at  SD,14,30,26.30588235,2.553076711
28,Drew Stanton,ARI,  at  SEA,15,31,26.86666667,3.004441157
29,Mike Glennon,TB,  at  CHI,14,33,28,3.62092683
30,Teddy Bridgewater,MIN,  vs.  GB,19,30,27.625,2.45140266
31,Derek Carr,OAK,  vs.  KC,19,30,28.09333333,2.461291441
32,Colt McCoy,WAS,  at  SF,30,57,43.5,13.5
33,Kellen Clemens,SD,  vs.  STL,30,41,35.5,5.5
34,Logan Thomas,ARI,  at  SEA,31,56,43.5,12.5
35,Johnny Manziel,CLE,  at  ATL,31,54,39.33333333,10.40299102
36,Jimmy Garoppolo,NE,  vs.  DET,32,45,38.5,6.5
