 Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,DeMarco Murray,DAL,  at  NYG,1,5,1.445454545,0.804378514
2,Jamaal Charles,KC,  at  OAK,1,5,2.036363636,0.785404039
3,Matt Forte,CHI,  vs.  TB,1,4,2.745454545,0.731578165
4,Eddie Lacy,GB,  at  MIN,3,13,5.154545455,1.635883768
5,LeSean McCoy,PHI,  vs.  TEN,2,17,5.945454545,1.939242418
6,Marshawn Lynch,SEA,  vs.  ARI,3,12,6.463636364,1.822472211
7,Mark Ingram,NO,  vs.  BAL,3,17,8.527272727,2.585656558
8,Rashad Jennings,NYG,  vs.  DAL,5,18,10.13636364,2.791145978
9,Justin Forsett,BAL,  at  NO,6,22,10.71559633,2.671946489
10,C.J. Anderson,DEN,  vs.  MIA,6,21,11.04545455,2.813559259
11,Andre Ellington,ARI,  at  SEA,4,22,12.17272727,2.987425437
12,Denard Robinson,JAC,  at  IND,5,23,11.93577982,3.53040588
13,Arian Foster,HOU,  vs.  CIN,2,45,7.376344086,5.647178339
14,Trent Richardson,IND,  vs.  JAC,7,31,15.62727273,4.412501024
15,Isaiah Crowell,CLE,  at  ATL,4,27,16.16363636,3.701418089
16,Frank Gore,SF,  vs.  WAS,8,37,16.53636364,3.969605597
17,Alfred Morris,WAS,  at  SF,7,28,17.9,3.896268611
18,Tre Mason,STL,  at  SD,9,33,18.06363636,4.065994841
19,Jeremy Hill,CIN,  at  HOU,8,31,18.99090909,5.174228892
20,Steven Jackson,ATL,  vs.  CLE,8,36,21.84545455,4.744731746
21,Lamar Miller,MIA,  at  DEN,11,31,22.22727273,3.340275141
22,Joique Bell,DET,  at  NE,13,31,22.38181818,4.006771128
23,Ryan Mathews,SD,  vs.  STL,9,39,22.49090909,4.186005808
24,Giovani Bernard,CIN,  at  HOU,10,31,22.03738318,4.560958322
25,Jerick McKinnon,MIN,  vs.  GB,10,39,23.76363636,5.173230524
26,Shane Vereen,NE,  vs.  DET,8,36,24.45454545,4.827264167
27,Bishop Sankey,TEN,  at  PHI,18,33,27.30909091,3.056276566
28,Jonas Gray,NE,  vs.  DET,13,48,28.45454545,5.640174665
29,Christopher Ivory,NYJ,  at  BUF,14,43,28.75454545,4.221560168
30,Fred Jackson,BUF,  vs.  NYJ,22,38,28.87037037,2.941064914
31,Charles Sims,TB,  at  CHI,21,50,30.78181818,4.399135903
32,Terrance West,CLE,  at  ATL,20,48,31.22727273,4.67810974
33,Alfred Blue,HOU,  vs.  CIN,8,55,32.23148148,9.047822003
34,Darren Sproles,PHI,  vs.  TEN,18,45,34.14678899,4.015624731
35,Reggie Bush,DET,  at  NE,20,57,35.07476636,4.215460939
36,Bryce Brown,BUF,  vs.  NYJ,21,50,36.28971963,4.421716472
37,Latavius Murray,OAK,  vs.  KC,23,80,38.23529412,7.440188263
38,Knile Davis,KC,  at  OAK,24,58,38.73831776,5.403938419
39,Branden Oliver,SD,  vs.  STL,27,50,39.09,4.94589729
40,Daniel Herron,IND,  vs.  JAC,27,67,39.625,4.930648849
41,Darren McFadden,OAK,  vs.  KC,22,66,40.91509434,5.729957563
42,Theo Riddick,DET,  at  NE,28,82,46.35714286,9.280493038
43,Matt Asiata,MIN,  vs.  GB,35,65,42.87209302,5.764358234
44,Benny Cunningham,STL,  at  SD,33,55,44.39583333,5.106122074
45,Carlos Hyde,SF,  vs.  WAS,29,56,44.04807692,4.295301117
46,Roy Helu,WAS,  at  SF,32,59,44.93269231,4.905382489
47,Chris Johnson,NYJ,  at  BUF,32,62,44.9223301,4.350402995
48,Bobby Rainey,TB,  at  CHI,35,63,45.42156863,4.600588783
49,Ben Tate,MIN,  vs.  GB,30,94,52.515625,9.656591317
50,Pierre Thomas,NO,  vs.  BAL,32,83,50.95348837,10.19793296
51,Juwan Thompson,DEN,  vs.  MIA,33,68,48.50526316,6.277568561
52,Anthony Dixon,BUF,  vs.  NYJ,31,60,50.37931034,4.771181158
53,Lorenzo Taliaferro,BAL,  at  NO,26,88,50.30120482,7.77505269
54,Devonta Freeman,ATL,  vs.  CLE,32,68,50.95402299,5.963313215
55,Jonathan Grimes,HOU,  vs.  CIN,33,103,58.32727273,11.41299824
56,LeGarrette Blount,NE,  vs.  DET,35,76,55.68421053,11.61239189
57,Travaris Cadet,NO,  vs.  BAL,37,79,52.13793103,7.289060318
58,Doug Martin,TB,  at  CHI,39,79,59.2,9.394679345
59,James Starks,GB,  at  MIN,40,64,54.58823529,5.402165399
60,Lance Dunbar,DAL,  at  NYG,41,91,60.96721311,7.137908986
61,Daniel Thomas,MIA,  at  DEN,41,76,64.66101695,5.513035921
62,Toby Gerhart,JAC,  at  IND,41,73,57.39393939,4.763748167
63,Andre Williams,NYG,  vs.  DAL,41,69,52.88421053,5.47311738
64,Joseph Randle,DAL,  at  NYG,42,71,60.01449275,6.524186336
65,Bernard Pierce,BAL,  at  NO,43,71,58.58666667,6.387682591
66,Damien Williams,MIA,  at  DEN,44,79,59.55555556,6.843262885
67,De'Anthony Thomas,KC,  at  OAK,44,75,65.52631579,7.714432278
68,Maurice Jones-Drew,OAK,  vs.  KC,46,91,66.66071429,6.625914454
69,Christine Michael,SEA,  vs.  ARI,46,79,67.85,5.682795673
70,Jacquizz Rodgers,ATL,  vs.  CLE,48,72,62.03389831,5.695570987
71,Dexter McCluster,TEN,  at  PHI,49,86,66.54098361,5.94392863
72,Chris Polk,PHI,  vs.  TEN,49,82,67.05,7.130743299
73,Stepfan Taylor,ARI,  at  SEA,49,75,66.6744186,5.655706853
74,Robert Turbin,SEA,  vs.  ARI,50,77,63.96969697,6.757643701
75,Ka'Deem Carey,CHI,  vs.  TB,50,77,69.11363636,5.568645621
76,Shonn Greene,TEN,  at  PHI,50,75,65.671875,5.900356683
77,Donald Brown,SD,  vs.  STL,51,77,67.37209302,7.041482586
78,Cedric Peerman,CIN,  at  HOU,52,89,69,9.279959432
79,Marion Grice,ARI,  at  SEA,54,77,70.57894737,6.226562704
80,Jordan Todman,JAC,  at  IND,56,87,69.6,6.643794097
81,James White,NE,  vs.  DET,56,85,71,11.86029792
82,Marcel Reece,OAK,  vs.  KC,57,87,70.55,7.179658766
83,Glenn Winston,CLE,  at  ATL,59,91,75,16
84,Mike James,TB,  at  CHI,59,77,68,6.519202405
85,Kyle Juszczyk,BAL,  at  NO,60,75,67.4,5.043808085
86,Silas Redd,WAS,  at  SF,64,99,77.4,13.09350984
87,Bilal Powell,NYJ,  at  BUF,67,90,77.53846154,5.772819397
88,Zac Stacy,STL,  at  SD,68,83,74.27272727,4.730767939
89,Ray Agnew,CLE,  at  ATL,69,93,77.5,9.20597632
90,Leon Washington,TEN,  at  PHI,69,86,76.7,5.386093204
91,Khiry Robinson,NO,  vs.  BAL,72,98,82,11.43095213
92,Darrel Young,WAS,  at  SF,72,96,82.8,7.493997598
93,Robert Hughes,ARI,  at  SEA,72,94,82.5,9.287087811
94,Brian Leonard,NO,  vs.  BAL,72,80,76.75,3.112474899
95,John Kuhn,GB,  at  MIN,73,93,79.28571429,5.897076412
96,Anthony Sherman,KC,  at  OAK,74,88,81,5.416025603
97,Bruce Miller,SF,  vs.  WAS,74,88,83,5.385164807
98,Henry Hynoski,NYG,  vs.  DAL,75,97,89.25,8.437268515
99,Patrick DiMarco,ATL,  vs.  CLE,75,87,80,5.099019514
100,DuJuan Harris,GB,  at  MIN,76,89,82.33333333,4.521553322
101,Will Ta'ufo'ou,JAC,  at  IND,77,96,84.66666667,8.178562764
102,Erik Lorig,NO,  vs.  BAL,78,90,82.83333333,3.975620147
103,Frank Summers,BUF,  vs.  NYJ,78,85,81.8,2.481934729
104,Jackie Battle,TEN,  at  PHI,80,82,81.33333333,0.745355992
105,Jay Prosch,HOU,  vs.  CIN,83,101,92,9
106,Jed Collins,DET,  at  NE,83,92,88.33333333,3.858612301
107,Brandon Bolden,NE,  vs.  DET,86,87,86.5,0.5
108,James Develin,NE,  vs.  DET,87,94,89.25,2.861380786
109,Jerome Felton,MIN,  vs.  GB,92,95,94,1.414213562
