,,,,,,,
FantasyPros.com ,0,,,,,,
Week 12 - TE Rankings ,0,,,,,,
Expert Consensus Rankings (ECR) ,0,,,,,,
,,,,,,,
 Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Rob Gronkowski,NE,  vs.  DET,1,2,1.1376146788991,0.34449510744071
2,Jimmy Graham,NO,  vs.  BAL,1,3,1.8990825688073,0.38181012929697
3,Antonio Gates,SD,  vs.  STL,3,14,4.9908256880734,1.9652738112288
4,Martellus Bennett,CHI,  vs.  TB,3,17,5.2201834862385,2.606828711219
5,Coby Fleener,IND,  vs.  JAC,2,16,5.2201834862385,2.0913004521139
6,Larry Donnell,NYG,  vs.  DAL,3,16,6.5963302752294,1.9913540921383
7,Travis Kelce,KC,  at  OAK,3,16,8.0366972477064,2.1754535771051
8,Jason Witten,DAL,  at  NYG,2,19,8.0747663551402,2.370775868031
9,Julius Thomas,DEN,  vs.  MIA,1,26,7.0752688172043,4.4364971146353
10,Mychal Rivera,OAK,  vs.  KC,4,18,10.862385321101,2.5430888172185
11,Charles Clay,MIA,  at  DEN,4,29,10.73,2.9928414592156
12,Owen Daniels,BAL,  at  NO,6,20,12.277777777778,2.4488596489482
13,Delanie Walker,TEN,  at  PHI,5,31,12.631067961165,3.9926881988998
14,Austin Seferian-Jenkins,TB,  at  CHI,5,31,15.171428571429,3.9867808779399
15,Jacob Tamme,DEN,  vs.  MIA,7,50,18.333333333333,7.9041189126582
16,Kyle Rudolph,MIN,  vs.  GB,7,26,16.634615384615,3.1563662539373
17,Niles Paul,WAS,  at  SF,9,45,19.307692307692,5.9994364345077
18,Jared Cook,STL,  at  SD,10,27,17.961538461538,3.2133228575701
19,Zach Ertz,PHI,  vs.  TEN,8,25,18.405660377358,3.4279051909095
20,Jordan Reed,WAS,  at  SF,9,46,17.757575757576,5.3965774958304
21,Dwayne Allen,IND,  vs.  JAC,4,33,18.520833333333,5.0579540632113
22,Vernon Davis,SF,  vs.  WAS,10,31,19.320388349515,3.7757879451137
23,Marcedes Lewis,JAC,  at  IND,9,33,20.325581395349,4.1914693556859
24,Scott Chandler,BUF,  vs.  NYJ,9,33,22.505263157895,4.9137266042459
25,Jordan Cameron,CLE,  at  ATL,11,48,23.021739130435,5.8365010752601
26,Jermaine Gresham,CIN,  at  HOU,11,30,22.70297029703,3.5223320201968
27,Timothy Wright,NE,  vs.  DET,12,43,25.417582417582,4.7948368157176
28,Jace Amaro,NYJ,  at  BUF,14,34,24.354838709677,3.9367175926262
29,Clay Harbor,JAC,  at  IND,14,45,28.442307692308,5.4399288087058
30,Luke Willson,SEA,  vs.  ARI,15,38,27.96,4.8206223664585
31,John Carlson,ARI,  at  SEA,16,38,27.980769230769,4.1625176581533
32,Eric Ebron,DET,  at  NE,16,35,26.46835443038,4.783503940662
33,Gavin Escobar,DAL,  at  NYG,17,53,33.685714285714,6.8817415925722
34,Brent Celek,PHI,  vs.  TEN,18,39,27.769230769231,4.2454291466297
35,Andrew Quarless,GB,  at  MIN,18,38,27.317073170732,4.8107553506104
36,Lance Kendricks,STL,  at  SD,20,45,29.115384615385,5.8265105210641
37,Ladarius Green,SD,  vs.  STL,20,45,32.25,6.043246919772
38,Garrett Graham,HOU,  vs.  CIN,20,39,28.147058823529,4.3123103739464
39,Jim Dray,CLE,  at  ATL,21,52,34.866666666667,6.829999186595
40,Chase Ford,MIN,  vs.  GB,22,49,36.888888888889,9.7347538283598
41,Gary Barnidge,CLE,  at  ATL,24,54,33.764705882353,7.6890251180781
42,Anthony Fasano,KC,  at  OAK,24,47,35.25,6.0017358600103
43,Dion Sims,MIA,  at  DEN,24,47,37.166666666667,7.0573051199134
44,Chase Coffman,TEN,  at  PHI,25,43,37.909090909091,5.7596487496208
45,Richard Rodgers,GB,  at  MIN,25,38,32.764705882353,3.781213807056
46,Tony Moeaki,SEA,  vs.  ARI,26,57,36.625,9.5516687023787
47,Levine Toilolo,ATL,  vs.  CLE,26,42,33.941176470588,4.1226859924553
48,Jack Doyle,IND,  vs.  JAC,28,53,40.75,7.1545440106271
49,Joseph Fauria,DET,  at  NE,28,43,34.666666666667,5.6174331821176
50,Brandon Pettigrew,DET,  at  NE,29,62,42.666666666667,12.174654911833
51,Rhett Ellison,MIN,  vs.  GB,33,58,45.142857142857,7.3373520219407
52,Josh Hill,NO,  vs.  BAL,34,48,40.142857142857,4.5175395145263
53,Jeff Cumberland,NYJ,  at  BUF,34,47,42.5,3.9051248379533
54,Cooper Helfet,SEA,  vs.  ARI,34,47,39,4.6427960923947
55,Daniel Fells,NYG,  vs.  DAL,35,54,43.166666666667,5.6984403324263
56,Logan Paulsen,WAS,  at  SF,35,38,36.5,1.5
57,Robert Housler,ARI,  at  SEA,37,50,43.75,4.630064794363
58,Benjamin Watson,NO,  vs.  BAL,38,53,46.555555555556,4.4249572781644
59,Dante Rosario,CHI,  vs.  TB,39,51,46.666666666667,3.9440531887331
60,Brandon Myers,TB,  at  CHI,39,49,44,3.4226138716317
61,Crockett Gillmore,BAL,  at  NO,45,51,48.5,2.2912878474779
62,Vance McDonald,SF,  vs.  WAS,49,56,52.5,3.5
63,Chris Gragg,BUF,  vs.  NYJ,49,55,52.25,2.3848480035424
64,Kevin Brock,CIN,  at  HOU,50,66,58,8
65,Michael Hoomanawanui,NE,  vs.  DET,55,67,61,6
